,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Can be used to estimate how strong lake erie is releasing toxins in that given day,,,,
41,-83.75,2018,191,0.5768736807,0.000002986026381,,,,
41,-83.125,2018,191,0.5748517694,0.000003089497847,,,,
41,-82.5,2018,191,0.6056335887,0.000003536840487,,,,
41.5,-83.75,2018,191,0.4130430223,0.000001606902446,,,,
41.5,-83.125,2018,191,0.6740601687,0.000004422892788,,,,
41.5,-82.5,2018,191,1.116282149,0.00001215758625,,,,
42,-83.75,2018,191,0.5171689041,0.00000288473331,,,,
42,-83.125,2018,191,0.9302888868,0.000009166005594,,,,
42,-82.5,2018,191,1.207745023,0.00001537242237,,,,
42.5,-83.75,2018,191,0.5252929773,0.000003356482804,,,,
42.5,-83.125,2018,191,0.6343705884,0.000004860467295,,,,
42.5,-82.5,2018,191,0.9055258602,0.000009862209797,,,,
41,-83.75,2018,192,0.2719017709,0.0000009530461147,,,,
41,-83.125,2018,192,0.345873336,0.00000154910172,,,,
41,-82.5,2018,192,0.4529549497,0.000002669408195,,,,
41.5,-83.75,2018,192,0.2019385468,0.0000005311746226,,,,
41.5,-83.125,2018,192,0.3678299711,0.000001730046343,,,,
41.5,-82.5,2018,192,0.6581524352,0.000005435143468,,,,
42,-83.75,2018,192,0.1871508542,0.0000004754706959,,,,
42,-83.125,2018,192,0.3822533149,0.000001886727198,,,,
42,-82.5,2018,192,0.5705862622,0.000004049256162,,,,
42.5,-83.75,2018,192,0.1607667378,0.0000003672189593,,,,
42.5,-83.125,2018,192,0.220454687,0.0000006640344889,,,,
42.5,-82.5,2018,192,0.3617109443,0.000001751362835,,,,
41,-83.75,2018,193,0.09202593206,0.0000001070304305,,,,
41,-83.125,2018,193,0.08721007578,0.0000000970447267,,,,
41,-82.5,2018,193,0.0913788109,0.0000001110168215,,,,
41.5,-83.75,2018,193,0.05829356831,0.00000004308964023,,,,
41.5,-83.125,2018,193,0.08958875976,0.0000001011774507,,,,
41.5,-82.5,2018,193,0.1348694074,0.0000002279743167,,,,
42,-83.75,2018,193,0.07810622889,0.00000008310883594,,,,
42,-83.125,2018,193,0.1369747035,0.0000002407702523,,,,
42,-82.5,2018,193,0.1447538429,0.0000002577584132,,,,
42.5,-83.75,2018,193,0.09080645126,0.0000001168289288,,,,
42.5,-83.125,2018,193,0.1343537371,0.0000002361631919,,,,
42.5,-82.5,2018,193,0.1857099218,0.0000004396688846,,,,
41,-83.75,2018,194,0.03189291313,0.00000001240798356,,,,
41,-83.125,2018,194,0.03869443258,0.0000000183143148,,,,
41,-82.5,2018,194,0.02934256169,0.00000001030454701,,,,
41.5,-83.75,2018,194,0.05393199112,0.00000003299971846,,,,
41.5,-83.125,2018,194,0.06364874908,0.00000004549371464,,,,
41.5,-82.5,2018,194,0.07387738451,0.00000006028269551,,,,
42,-83.75,2018,194,0.1547715183,0.0000002548165299,,,,
42,-83.125,2018,194,0.1240899113,0.0000001619302349,,,,
42,-82.5,2018,194,0.1127840505,0.0000001331027775,,,,
42.5,-83.75,2018,194,0.3280316772,0.00000111366705,,,,
42.5,-83.125,2018,194,0.2197767009,0.0000005020078935,,,,
42.5,-82.5,2018,194,0.2095097738,0.0000004728347534,,,,
41,-83.75,2018,195,0.06881231157,0.00000004835908328,,,,
41,-83.125,2018,195,0.07300278563,0.00000005486980983,,,,
41,-82.5,2018,195,0.1373437419,0.0000001817743624,,,,
41.5,-83.75,2018,195,0.1749139521,0.0000002956629636,,,,
41.5,-83.125,2018,195,0.216895642,0.0000004494321667,,,,
41.5,-82.5,2018,195,0.2403876957,0.0000005360126638,,,,
42,-83.75,2018,195,0.1663727617,0.0000002667435115,,,,
42,-83.125,2018,195,0.1901176029,0.0000003341833351,,,,
42,-82.5,2018,195,0.189734024,0.0000003249396469,,,,
42.5,-83.75,2018,195,0.1138238758,0.0000001211141538,,,,
42.5,-83.125,2018,195,0.1133860166,0.0000001206482503,,,,
42.5,-82.5,2018,195,0.1519272225,0.000000212636429,,,,
41,-83.75,2018,196,0.1146551756,0.000000120175738,,,,
41,-83.125,2018,196,0.07818388598,0.00000005494512489,,,,
41,-82.5,2018,196,0.0527780863,0.00000002450751084,,,,
41.5,-83.75,2018,196,0.09851496494,0.0000000857287578,,,,
41.5,-83.125,2018,196,0.0409570849,0.00000001438334564,,,,
41.5,-82.5,2018,196,0.01840425628,0.000000002850641091,,,,
42,-83.75,2018,196,0.03739611332,0.00000001233150437,,,,
42,-83.125,2018,196,0.05075995643,0.00000002181260495,,,,
42,-82.5,2018,196,0.02540910565,0.000000005460167807,,,,
42.5,-83.75,2018,196,0.0273420196,0.000000006459325724,,,,
42.5,-83.125,2018,196,0.02779460789,0.000000006566245959,,,,
42.5,-82.5,2018,196,0.02429907833,0.00000000509730161,,,,
41,-83.75,2018,197,0.1362903229,0.0000001562040917,,,,
41,-83.125,2018,197,0.1777770278,0.0000002664872211,,,,
41,-82.5,2018,197,0.3028988957,0.000000778530163,,,,
41.5,-83.75,2018,197,0.1729652889,0.0000002592744392,,,,
41.5,-83.125,2018,197,0.3181048079,0.0000008464144752,,,,
41.5,-82.5,2018,197,0.6728171022,0.000003684017274,,,,
42,-83.75,2018,197,0.3486487715,0.000001073605856,,,,
42,-83.125,2018,197,0.4893983847,0.000001983320149,,,,
42,-82.5,2018,197,0.7319297259,0.000004313495657,,,,
42.5,-83.75,2018,197,0.4720170235,0.000001932364189,,,,
42.5,-83.125,2018,197,0.4351400556,0.0000015907958,,,,
42.5,-82.5,2018,197,0.4488531609,0.000001675511649,,,,
41,-83.75,2018,198,0.6158830576,0.000004408463424,,,,
41,-83.125,2018,198,0.5688795776,0.000003602811323,,,,
41,-82.5,2018,198,0.7227651609,0.000005445036236,,,,
41.5,-83.75,2018,198,0.6362278817,0.000005125387043,,,,
41.5,-83.125,2018,198,0.8260649605,0.000007763454126,,,,
41.5,-82.5,2018,198,1.478615714,0.00002261315663,,,,
42,-83.75,2018,198,0.8253649549,0.00000892107949,,,,
42,-83.125,2018,198,1.282178907,0.00001881181146,,,,
42,-82.5,2018,198,1.863383759,0.00003688943974,,,,
42.5,-83.75,2018,198,0.6514070525,0.000005649966763,,,,
42.5,-83.125,2018,198,0.7185047025,0.000006282679686,,,,
42.5,-82.5,2018,198,1.131784348,0.00001472154972,,,,
41,-83.75,2018,199,0.1145255591,0.0000001716734628,,,,
41,-83.125,2018,199,0.1539747692,0.0000003190530409,,,,
41,-82.5,2018,199,0.1817522043,0.0000004510951273,,,,
41.5,-83.75,2018,199,0.09385629875,0.0000001224771002,,,,
41.5,-83.125,2018,199,0.2153389163,0.0000006203471622,,,,
41.5,-82.5,2018,199,0.2723570114,0.000000975012989,,,,
42,-83.75,2018,199,0.07013817737,0.00000006917218201,,,,
42,-83.125,2018,199,0.2141354611,0.0000006031504069,,,,
42,-82.5,2018,199,0.2426215585,0.0000007720562372,,,,
42.5,-83.75,2018,199,0.05477538193,0.00000004255569122,,,,
42.5,-83.125,2018,199,0.08422950648,0.00000009653652047,,,,
42.5,-82.5,2018,199,0.1840687211,0.0000004568445454,,,,
41,-83.75,2018,200,0.2256717645,0.0000007338876336,,,,
41,-83.125,2018,200,0.1389424143,0.0000002879043108,,,,
41,-82.5,2018,200,0.0998932084,0.0000001457099108,,,,
41.5,-83.75,2018,200,0.2084613844,0.0000006279093031,,,,
41.5,-83.125,2018,200,0.2714687881,0.0000009924423239,,,,
41.5,-82.5,2018,200,0.2368774306,0.0000007294246173,,,,
42,-83.75,2018,200,0.4080012842,0.000002213326011,,,,
42,-83.125,2018,200,0.6325273446,0.000004887271167,,,,
42,-82.5,2018,200,0.3889057429,0.000001864959729,,,,
42.5,-83.75,2018,200,0.4903741713,0.000003161273214,,,,
42.5,-83.125,2018,200,0.4023897385,0.000002005205424,,,,
42.5,-82.5,2018,200,0.2654648119,0.0000008916548951,,,,
41,-83.75,2018,201,2.694166262,0.00007489469556,,,,
41,-83.125,2018,201,2.463282718,0.00006347482989,,,,
41,-82.5,2018,201,1.936554311,0.00003957361816,,,,
41.5,-83.75,2018,201,2.564076131,0.00007045915456,,,,
41.5,-83.125,2018,201,3.528925902,0.0001280306123,,,,
41.5,-82.5,2018,201,4.455100834,0.0001968240912,,,,
42,-83.75,2018,201,2.768469216,0.00008011320248,,,,
42,-83.125,2018,201,4.800491301,0.0002240658229,,,,
42,-82.5,2018,201,4.38020543,0.0001820663335,,,,
42.5,-83.75,2018,201,3.028042389,0.00009748722684,,,,
42.5,-83.125,2018,201,2.508674487,0.00006426391693,,,,
42.5,-82.5,2018,201,1.837255883,0.00003344563289,,,,
41,-83.75,2018,202,0.3383261203,0.000001148616669,,,,
41,-83.125,2018,202,0.3523972296,0.000001248321479,,,,
41,-82.5,2018,202,0.6564301363,0.000004345282854,,,,
41.5,-83.75,2018,202,0.3566955136,0.000001250257666,,,,
41.5,-83.125,2018,202,0.5908323708,0.000003356932974,,,,
41.5,-82.5,2018,202,1.849963212,0.00003280506703,,,,
42,-83.75,2018,202,0.5058041362,0.000002496549758,,,,
42,-83.125,2018,202,1.062334984,0.00001063167169,,,,
42,-82.5,2018,202,3.262443135,0.00009990046565,,,,
42.5,-83.75,2018,202,0.5668002482,0.000003190885845,,,,
42.5,-83.125,2018,202,0.9472279077,0.000008692143658,,,,
42.5,-82.5,2018,202,2.500546912,0.00006071223042,,,,
41,-83.75,2018,203,0.7313891034,0.00000614002444,,,,
41,-83.125,2018,203,0.7587239093,0.000006634360604,,,,
41,-82.5,2018,203,0.7696683166,0.000006730059637,,,,
41.5,-83.75,2018,203,0.6984053681,0.000005626282544,,,,
41.5,-83.125,2018,203,1.001243279,0.00001132435378,,,,
41.5,-82.5,2018,203,1.409187519,0.00002184913276,,,,
42,-83.75,2018,203,0.7664690665,0.000006866344035,,,,
42,-83.125,2018,203,1.236638358,0.00001739717585,,,,
42,-82.5,2018,203,1.475694754,0.00002448528419,,,,
42.5,-83.75,2018,203,0.6440585189,0.000005018288453,,,,
42.5,-83.125,2018,203,0.6904061003,0.000005795971404,,,,
42.5,-82.5,2018,203,0.8303486605,0.000008374865868,,,,
41,-83.75,2018,204,0.01385397734,0.000000002203102285,,,,
41,-83.125,2018,204,0.01297514339,0.000000001756278841,,,,
41,-82.5,2018,204,0.01062361429,0.000000001112154919,,,,
41.5,-83.75,2018,204,0.003764792023,0.0000000001644652952,,,,
41.5,-83.125,2018,204,0.03260437123,0.00000001121369958,,,,
41.5,-82.5,2018,204,0.02898117114,0.000000008212491749,,,,
42,-83.75,2018,204,0.007343449949,0.0000000006403801386,,,,
42,-83.125,2018,204,0.01647528993,0.000000002979782555,,,,
42,-82.5,2018,204,0.03432615439,0.00000001180587659,,,,
42.5,-83.75,2018,204,0.02183592709,0.000000005529045546,,,,
42.5,-83.125,2018,204,0.01656065724,0.000000002995222405,,,,
42.5,-82.5,2018,204,0.03403749853,0.00000001195331912,,,,
41,-83.75,2018,205,0.05304275678,0.00000002914199789,,,,
41,-83.125,2018,205,0.06867155846,0.00000004744632129,,,,
41,-82.5,2018,205,0.07697971267,0.00000005690212866,,,,
41.5,-83.75,2018,205,0.0504796189,0.00000002673529731,,,,
41.5,-83.125,2018,205,0.03028544337,0.000000009165688794,,,,
41.5,-82.5,2018,205,0.04678960201,0.00000002090551665,,,,
42,-83.75,2018,205,0.05149998744,0.00000002829439148,,,,
42,-83.125,2018,205,0.0340291868,0.00000001170373981,,,,
42,-82.5,2018,205,0.0519307454,0.00000002552829756,,,,
42.5,-83.75,2018,205,0.09119636555,0.00000008720717718,,,,
42.5,-83.125,2018,205,0.09022985643,0.00000008104960719,,,,
42.5,-82.5,2018,205,0.1134972676,0.0000001225904365,,,,
41,-83.75,2018,206,0.3306948536,0.000001159122445,,,,
41,-83.125,2018,206,0.2102344868,0.0000004631331485,,,,
41,-82.5,2018,206,0.1452724399,0.0000002148186668,,,,
41.5,-83.75,2018,206,0.3519182458,0.000001355091433,,,,
41.5,-83.125,2018,206,0.1801408708,0.0000003249331678,,,,
41.5,-82.5,2018,206,0.1846845238,0.0000003204433505,,,,
42,-83.75,2018,206,0.3513250698,0.000001352807358,,,,
42,-83.125,2018,206,0.1826120868,0.0000003251713445,,,,
42,-82.5,2018,206,0.1593914538,0.0000002356968715,,,,
42.5,-83.75,2018,206,0.2953513334,0.000000950128603,,,,
42.5,-83.125,2018,206,0.2075786362,0.0000004354637653,,,,
42.5,-82.5,2018,206,0.2079484394,0.0000004203377946,,,,
41,-83.75,2018,207,0.776461788,0.000007068384686,,,,
41,-83.125,2018,207,0.7722388911,0.000006807387674,,,,
41,-82.5,2018,207,0.8298045651,0.000007553981369,,,,
41.5,-83.75,2018,207,1.142251602,0.00001606933171,,,,
41.5,-83.125,2018,207,1.570560151,0.00002785046249,,,,
41.5,-82.5,2018,207,2.308679136,0.00005406021528,,,,
42,-83.75,2018,207,1.413399419,0.00002522893718,,,,
42,-83.125,2018,207,2.075551424,0.00004830701603,,,,
42,-82.5,2018,207,2.517487386,0.00006410934331,,,,
42.5,-83.75,2018,207,1.319748677,0.00002279233543,,,,
42.5,-83.125,2018,207,1.303142296,0.00002062300004,,,,
42.5,-82.5,2018,207,1.273524202,0.00001779017725,,,,
41,-83.75,2018,208,0.4221515406,0.000002398538903,,,,
41,-83.125,2018,208,0.3563683405,0.000001692477695,,,,
41,-82.5,2018,208,0.3185435875,0.000001264904318,,,,
41.5,-83.75,2018,208,0.5724696464,0.000004497974377,,,,
41.5,-83.125,2018,208,0.7543003401,0.000007316403314,,,,
41.5,-82.5,2018,208,0.9079604704,0.000009813825366,,,,
42,-83.75,2018,208,0.748664339,0.000007668953309,,,,
42,-83.125,2018,208,1.091564663,0.00001482200397,,,,
42,-82.5,2018,208,1.135869962,0.00001520511272,,,,
42.5,-83.75,2018,208,0.7001637793,0.000006791300922,,,,
42.5,-83.125,2018,208,0.6769989323,0.000006016196229,,,,
42.5,-82.5,2018,208,0.6898415534,0.00000588672609,,,,
41,-83.75,2018,209,0.08927951047,0.0000001148644113,,,,
41,-83.125,2018,209,0.1008051419,0.0000001450361536,,,,
41,-82.5,2018,209,0.1454493973,0.0000002903620868,,,,
41.5,-83.75,2018,209,0.1750449703,0.0000004499118063,,,,
41.5,-83.125,2018,209,0.2762264504,0.000001052715832,,,,
41.5,-82.5,2018,209,0.4334697038,0.000002440281821,,,,
42,-83.75,2018,209,0.2534431786,0.000000926543854,,,,
42,-83.125,2018,209,0.3340896895,0.000001496324981,,,,
42,-82.5,2018,209,0.4588202728,0.000002679465188,,,,
42.5,-83.75,2018,209,0.2722124677,0.000001069932071,,,,
42.5,-83.125,2018,209,0.2845073401,0.000001106847268,,,,
42.5,-82.5,2018,209,0.4013071524,0.000002096942309,,,,
41,-83.75,2018,210,0.004830331702,0.0000000003359053318,,,,
41,-83.125,2018,210,0.01875983176,0.000000004971113582,,,,
41,-82.5,2018,210,0.04858139947,0.00000003243483379,,,,
41.5,-83.75,2018,210,0.04319606959,0.00000002737635435,,,,
41.5,-83.125,2018,210,0.06556154603,0.00000005796658177,,,,
41.5,-82.5,2018,210,0.1498958435,0.000000288173063,,,,
42,-83.75,2018,210,0.05164158159,0.00000003817260182,,,,
42,-83.125,2018,210,0.08679455744,0.0000000965823505,,,,
42,-82.5,2018,210,0.1275992701,0.0000001991794461,,,,
42.5,-83.75,2018,210,0.01183987788,0.000000002035141804,,,,
42.5,-83.125,2018,210,0.03029216764,0.00000001202470775,,,,
42.5,-82.5,2018,210,0.05082310269,0.00000003165034369,,,,
41,-83.75,2018,211,0.01756457665,0.000000003865867201,,,,
41,-83.125,2018,211,0.0257661588,0.00000000849648457,,,,
41,-82.5,2018,211,0.04521398037,0.00000002622623071,,,,
41.5,-83.75,2018,211,0.005176564821,0.0000000003599826743,,,,
41.5,-83.125,2018,211,0.02025987563,0.000000005248332303,,,,
41.5,-82.5,2018,211,0.03500212174,0.00000001533795551,,,,
42,-83.75,2018,211,0.02668173029,0.000000009765532433,,,,
42,-83.125,2018,211,0.02431241219,0.000000007682553631,,,,
42,-82.5,2018,211,0.02359067657,0.000000006834155305,,,,
42.5,-83.75,2018,211,0.01629397215,0.000000003672454504,,,,
42.5,-83.125,2018,211,0.01466510382,0.000000002719982914,,,,
42.5,-82.5,2018,211,0.02163715435,0.000000005605117138,,,,
41,-83.75,2018,212,0.3399070039,0.000001191412062,,,,
41,-83.125,2018,212,0.7632479473,0.000005798817711,,,,
41,-82.5,2018,212,1.034561435,0.00001067971297,,,,
41.5,-83.75,2018,212,0.5097284363,0.000002817041731,,,,
41.5,-83.125,2018,212,1.00239269,0.00001003177919,,,,
41.5,-82.5,2018,212,1.612170016,0.00002534030927,,,,
42,-83.75,2018,212,0.5006245969,0.000002844399359,,,,
42,-83.125,2018,212,0.7341137957,0.000005624687147,,,,
42,-82.5,2018,212,1.13503007,0.00001303139285,,,,
42.5,-83.75,2018,212,0.3139364501,0.000001184112898,,,,
42.5,-83.125,2018,212,0.3163577719,0.000001132531655,,,,
42.5,-82.5,2018,212,0.313602664,0.000001076104695,,,,
41,-83.75,2018,213,0.06510281623,0.00000004732325641,,,,
41,-83.125,2018,213,0.1328779882,0.000000199183698,,,,
41,-82.5,2018,213,0.4557994846,0.00000224973663,,,,
41.5,-83.75,2018,213,0.1434512258,0.0000002330717145,,,,
41.5,-83.125,2018,213,0.301892665,0.000001014010371,,,,
41.5,-82.5,2018,213,1.135427403,0.00001363018859,,,,
42,-83.75,2018,213,0.3359908816,0.000001307138822,,,,
42,-83.125,2018,213,0.5612163533,0.000003460236147,,,,
42,-82.5,2018,213,1.409378913,0.00002067805847,,,,
42.5,-83.75,2018,213,0.4262924318,0.000002165175224,,,,
42.5,-83.125,2018,213,0.4621552154,0.000002437714308,,,,
42.5,-82.5,2018,213,0.6396528982,0.000004346908227,,,,
41,-83.75,2018,214,0.1044493477,0.0000001287392422,,,,
41,-83.125,2018,214,0.081489455,0.00000007672364046,,,,
41,-82.5,2018,214,0.07219975947,0.00000005796261132,,,,
41.5,-83.75,2018,214,0.2451265952,0.0000007141118532,,,,
41.5,-83.125,2018,214,0.2392287073,0.0000006365406486,,,,
41.5,-82.5,2018,214,0.2913471911,0.0000008775707415,,,,
