WeatherCloud Data Compiled-LEC,,,,,,,,,,,,,,,,,
Location ,"Lake Erie Center, Oregon, OH ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date (America/New_York),tempin (°C),temp (°C),chill (°C),dewin (°C),dew (°C),heatin (°C),heat (°C),humin (%),hum (%),wspdhi (mph),wspdavg (mph),wdiravg (°),bar (mmHg),rain (mm),rainrate (mm/h),solarrad (W/m²),uvi
5/24/25 2:10,20.9,11.1,10.2,,6.6,,,39,74,3.8,3.1,68,765.7,0,0,,
5/24/25 2:20,20.8,10.9,10.9,,6.8,,,39,76,5.1,4.3,68,765.7,0,0,,
5/24/25 2:30,20.8,10.8,10.8,,6.5,,,39,75,1.1,1.1,68,765.5,0,0,,
5/24/25 2:40,20.8,10.6,9,,6.3,,,39,75,7.2,6.9,338,765.7,0,0,,
5/24/25 2:50,20.7,10.4,10.4,,6.5,,,39,77,6.9,6.7,338,765.7,0,0,,
5/24/25 3:00,20.7,10.2,10.2,,6.4,,,39,78,1.3,1.3,0,765.7,0,0,,
5/24/25 3:10,20.7,10.2,9.4,,6.4,,,39,78,0,0,338,765.7,0,0,,
5/24/25 3:20,20.7,10,10,,6.5,,,39,79,3.4,2.9,90,765.7,0,0,,
5/24/25 3:30,20.6,10,9.5,,6.5,,,39,79,5.8,5.8,0,765.7,0,0,,
5/24/25 3:40,20.6,9.9,9.3,,6.5,,,39,80,1.6,1.6,68,765.8,0,0,,
5/24/25 3:50,20.6,9.8,9.8,,6.4,,,39,80,2.2,2.2,22,765.8,0,0,,
5/24/25 4:00,20.6,9.6,9.6,,6.2,,,39,80,1.3,1.3,22,765.8,0,0,,
5/24/25 4:10,20.6,9.5,9.5,,6.5,,,39,81,1.1,1.1,248,766,0,0,,
5/24/25 4:20,20.5,9.4,9.4,,6.4,,,39,82,3.1,2.7,135,766,0,0,,
5/24/25 4:30,20.5,9.3,8.6,,6.3,,,39,82,2.2,2.2,338,766.1,0,0,,
5/24/25 4:40,20.4,9.2,9.2,,6.2,,,39,82,5.4,5.4,22,766,0,0,,
5/24/25 4:50,20.4,9.1,7.7,,6,,,39,81,4,3.4,338,766,0,0,,
5/24/25 5:00,20.4,9.1,9.1,,6,,,39,81,7.6,7.2,68,766.1,0,0,,
5/24/25 5:10,20.4,9.1,7.6,,6,,,39,81,7.2,6.9,315,766.2,0,0,,
5/24/25 5:20,20.3,8.9,7.9,,5.9,,,39,82,4.7,4.3,315,766.2,0,0,,
5/24/25 5:30,20.3,8.8,8.8,,6,,,39,83,1.1,1.1,315,766.3,0,0,,
5/24/25 5:40,20.3,8.5,8.5,,6,,,39,84,1.3,1.3,338,766.5,0,0,,
5/24/25 5:50,20.3,8.3,8.3,,5.9,,,39,85,0,0,338,766.5,0,0,,
5/24/25 6:00,20.3,8.1,7.2,,5.7,,,39,85,2,2,248,766.4,0,0,,
5/24/25 6:10,20.2,7.9,6.7,,5.6,,,39,86,1.3,1.3,68,766.6,0,0,,
5/24/25 6:20,20.2,7.9,7.9,,5.6,,,39,86,1.8,1.8,315,766.6,0,0,,
5/24/25 6:30,20.2,8.3,8.3,,5.6,,,39,83,1.3,1.3,68,766.6,0,0,,
5/24/25 6:40,20.2,8.9,8.9,,5.8,,,39,81,1.3,1.3,315,766.7,0,0,,
5/24/25 6:50,20.2,9.6,9.6,,5.9,,,39,78,0,0,112,766.7,0,0,,
5/24/25 7:00,20.2,10,10,,6.1,,,39,77,1.3,1.3,45,766.8,0,0,,
5/24/25 7:10,20.2,10.2,10.2,,6.1,,,39,76,0,0,45,766.9,0,0,,
5/24/25 7:20,20.3,10.4,10.4,,6.2,,,39,75,0,0,112,766.9,0,0,,
5/24/25 7:30,20.3,11,11,,5.9,,,39,71,2.7,2.7,90,766.9,0,0,,
5/24/25 7:40,20.6,11.1,10.3,,6,,,39,71,1.8,1.8,338,767.2,0,0,,
5/24/25 7:50,20.4,11.1,10.3,,6.2,,,39,72,1.8,1.8,90,767.2,0,0,,
5/24/25 8:00,20.4,11.2,10.6,,6.1,,,39,71,2.9,2.9,315,767.2,0,0,,
5/24/25 8:10,20.4,11.1,11.1,,6.3,,,39,73,2.2,2.2,248,767.2,0,0,,
5/24/25 8:20,20.4,11.4,10.8,,6.5,,,39,72,1.1,1.1,315,767.2,0,0,,
5/24/25 8:30,20.4,11.7,11.7,,6.9,,,39,73,1.6,1.6,292,767.2,0,0,,
5/24/25 8:40,20.4,11.7,11.1,,6.6,,,39,71,3.8,3.1,45,767.3,0,0,,
5/24/25 8:50,20.5,11.7,11.7,,6.3,,,39,70,1.1,1.1,0,767.3,0,0,,
5/24/25 9:00,20.5,12.2,11,,6.7,,,39,69,7.6,7.6,338,767.4,0,0,,
5/24/25 9:10,20.5,12,12,,6.2,,,39,68,2.7,2.7,0,767.5,0,0,,
5/24/25 9:20,20.6,12.4,12.4,,6.6,,,40,68,3.4,2.9,22,767.5,0,0,,
5/24/25 9:30,20.6,12.9,12.9,,6.5,,,40,65,0,0,112,767.7,0,0,,
5/24/25 9:40,20.6,13.1,12.8,,6.8,,,40,66,4.5,3.8,0,767.7,0,0,,
5/24/25 9:50,20.7,12.8,12.1,,7.4,,,40,70,6.7,6.5,22,767.7,0,0,,
5/24/25 10:00,20.7,12.6,11.7,,6.8,,,40,68,6,6,0,767.6,0,0,,
5/24/25 10:10,20.7,12.7,11.8,,7.1,,,41,69,2.9,2.9,68,767.5,0,0,,
5/24/25 10:20,20.8,12.9,11.8,,7.3,,,41,69,6,6,315,767.5,0,0,,
5/24/25 10:30,20.8,12.9,12.2,,6.6,,,41,66,5.4,5.4,68,767.6,0,0,,
5/24/25 10:40,20.9,13.1,12.3,,6.7,,,41,65,5.4,4.9,22,767.8,0,0,,
5/24/25 10:50,20.9,13.4,13.4,,6.7,,,41,64,5.4,4.7,338,767.8,0,0,,
5/24/25 11:00,21,13.4,13.4,,6.9,,,42,65,1.3,1.3,270,767.9,0,0,,
5/24/25 11:10,21.1,13.8,13.2,,6.3,,,42,61,5.4,5.4,338,768,0,0,,
5/24/25 11:20,21.2,13.8,13.8,,7.1,,,42,64,2,2,68,768,0,0,,
5/24/25 11:30,21.2,13.7,13.3,,7.6,,,42,67,5.8,5.8,45,768.4,0,0,,
5/24/25 11:40,21.3,13.6,13.6,,7.3,,,42,66,2.5,2.5,22,768.4,0,0,,
5/24/25 11:50,21.3,14,13.7,,6.5,,,42,61,2.9,2.9,22,768.4,0,0,,
5/24/25 12:00,21.4,14,14,,6.5,,,42,61,2.5,2.5,22,768.2,0,0,,
5/24/25 12:10,21.5,14,13.5,,6.8,,,42,62,5.4,5.4,22,768.3,0,0,,
5/24/25 12:20,21.5,14.3,14.3,,6.8,,,43,61,2.5,2.5,22,768.3,0,0,,
5/24/25 12:30,21.6,14.4,14.4,,7.7,,,43,64,2.7,2.7,45,768.2,0,0,,
5/24/25 12:40,21.6,15.2,15.2,,6.4,,,43,56,3.6,3.4,68,768.3,0,0,,
5/24/25 12:50,21.7,15.6,15.6,,7.3,,,43,58,1.1,1.1,22,768.3,0,0,,
5/24/25 13:00,21.8,15.8,15.8,,6.7,,,43,55,2,2,270,768.3,0,0,,
5/24/25 13:10,21.8,16.1,16.1,,7.2,,,43,56,3.4,2.9,22,768,0,0,,
5/24/25 13:20,21.9,16.1,16.3,,6.2,,,43,52,5.4,4.7,45,768,0,0,,
5/24/25 13:30,22,16.2,15.6,,6.8,,,43,54,7.6,7.4,22,767.8,0,0,,
5/24/25 13:40,21.9,16.1,16.1,,6.7,,,43,54,4.9,4.5,315,767.7,0,0,,
5/24/25 13:50,22,15.8,15.8,,6.5,,,43,54,0,0,338,767.7,0,0,,
5/24/25 14:00,22.1,16.5,16.6,,6.7,,,43,52,5.4,4.5,338,767.6,0,0,,
5/24/25 14:10,22.2,16.7,16.6,,7.6,,,43,55,2,2,338,767.8,0,0,,
5/24/25 14:20,22.3,16,15.9,,7.4,,,43,57,5.4,4.7,22,767.8,0,0,,
5/24/25 14:30,22.3,16.3,16.3,,6.7,,,43,53,5.4,4.9,338,767.6,0,0,,
5/24/25 14:40,22.3,16.8,16.8,,6.5,,,43,51,1.8,1.8,315,767.5,0,0,,
5/24/25 14:50,22.4,17.5,18,,6.4,,,42,48,4.7,4,0,767.5,0,0,,
5/24/25 15:00,22.4,17.8,17.9,,6.9,,,42,49,5.4,4.7,0,767.8,0,0,,
5/24/25 15:10,22.6,17.4,17.3,,6.8,,,42,50,6,6,338,767.7,0,0,,
5/24/25 15:20,22.5,17,17,,6.7,,,42,51,5.4,5.4,22,767.7,0,0,,
5/24/25 15:30,22.6,17.1,17.1,,6.3,,,42,49,5.4,5.4,22,767.5,0,0,,
5/24/25 15:40,22.4,17.3,17.4,,8.6,,,42,57,5.4,5.4,45,767.4,0,0,,
5/24/25 15:50,22.3,16.8,16.7,,7.6,,,40,55,2.7,2.7,22,767.4,0,0,,
5/24/25 16:00,22,16.5,16.5,,8,,,40,57,3.6,3.1,45,767.9,0,0,,
5/24/25 16:10,21.9,16.7,16.8,,6.8,,,39,52,2.7,2.7,338,767.8,0,0,,
5/24/25 16:20,21.8,17.2,17.2,,6.6,,,39,50,3.4,2.9,0,767.8,0,0,,
5/24/25 16:30,21.9,17,17,,8.3,,,39,57,5.4,4.7,315,767.7,0,0,,
5/24/25 16:40,22.2,17,17,,8.1,,,40,56,2.2,2.2,338,767.6,0,0,,
5/24/25 16:50,22.3,17.1,16.8,,7.2,,,40,52,3.6,3.1,315,767.6,0,0,,
5/24/25 17:00,22,17,17,,7.3,,,39,53,1.3,1.3,315,767.8,0,0,,
5/24/25 17:10,21.8,17.1,16.8,,7.2,,,39,52,5.6,5.1,338,767.9,0,0,,
5/24/25 17:20,21.9,17.1,17.1,,7.9,,,39,55,5.4,5.4,338,767.9,0,0,,
5/24/25 17:30,22.3,17.4,17.3,,8,,,40,54,6.7,6.5,22,767.5,0,0,,
5/24/25 17:40,22.1,17.4,17.6,,7.7,,,39,53,4.7,4.3,338,767.8,0,0,,
5/24/25 17:50,21.9,17.1,17.1,,7.4,,,38,53,1.8,1.8,45,767.8,0,0,,
5/24/25 18:00,21.9,17.5,17.5,,8.9,,,39,57,2.7,2.7,0,767.9,0,0,,
5/24/25 18:10,21.9,17.3,17.3,,8.6,,,39,57,4,3.6,338,768,0,0,,
5/24/25 18:20,22.2,17,17.1,,8.3,,,39,57,4.7,4.3,338,768,0,0,,
5/24/25 18:30,22.1,17.1,17.3,,7.2,,,39,52,4.7,4.3,22,768,0,0,,
5/24/25 18:40,21.8,17.2,17.4,,8.5,,,39,57,4,3.6,0,767.9,0,0,,
5/24/25 18:50,21.8,17.2,17.4,,8.3,,,39,56,4.7,4.3,315,767.9,0,0,,
5/24/25 19:00,21.9,16.9,16.4,,9,,,39,60,7.6,7.6,22,767.9,0,0,,
5/24/25 19:10,22.2,16.3,16.3,,9.2,,,40,63,2.7,2.7,45,767.8,0,0,,
5/24/25 19:20,22,15.9,15.7,,7.8,,,40,59,5.4,5.4,45,767.8,0,0,,
5/24/25 19:30,21.7,15.9,15.8,,8.6,,,40,62,5.4,4.7,68,767.9,0,0,,
5/24/25 19:40,21.7,15.7,15.7,,8.9,,,41,64,2.2,2.2,68,767.9,0,0,,
5/24/25 19:50,22,15.5,15.5,,8.5,,,41,63,2,2,68,767.9,0,0,,
5/24/25 20:00,21.8,15.5,15.6,,8.5,,,41,63,4,3.6,68,768.1,0,0,,
5/24/25 20:10,21.5,15.3,15.3,,8.5,,,42,64,1.3,1.3,68,768.2,0,0,,
5/24/25 20:20,21.8,15,15,,8.6,,,42,66,1.1,1.1,68,768.2,0,0,,
5/24/25 20:30,21.9,14.7,14.7,,8.8,,,42,68,1.6,1.6,68,768.4,0,0,,
5/24/25 20:40,21.4,14.3,14.3,,8.7,,,43,69,0,0,68,768.5,0,0,,
5/24/25 20:50,21.6,13.7,13.7,,8.9,,,43,73,0,0,68,768.5,0,0,,
5/24/25 21:00,21.8,13.4,13.4,,9.1,,,43,75,0,0,68,768.3,0,0,,
5/24/25 21:10,21.7,12.9,12.9,,9.1,,,42,78,1.3,1.3,68,768.4,0,0,,
5/24/25 21:20,21.2,12.6,12.6,,8.8,,,43,78,1.6,1.6,68,768.4,0,0,,
5/24/25 21:30,21.6,12.3,12.3,,8.9,,,43,80,0,0,68,768.6,0,0,,
5/24/25 21:40,21.7,11.9,11.9,,8.7,,,43,81,0,0,68,768.6,0,0,,
5/24/25 21:50,21.7,11.5,11.5,,8.5,,,43,82,0,0,68,768.6,0,0,,
5/24/25 22:00,21.1,11.2,11.2,,8.5,,,43,84,0,0,68,769,0,0,,
5/24/25 22:10,21.5,11.1,11.1,,8.7,,,43,85,0,0,68,768.8,0,0,,
5/24/25 22:20,21.5,11,11,,8.3,,,43,84,1.1,1.1,68,768.8,0,0,,
5/24/25 22:30,21.6,10.9,10.9,,8.5,,,43,85,0,0,68,768.7,0,0,,
5/24/25 22:40,21.5,10.7,10.7,,8.3,,,43,85,0,0,68,769,0,0,,
5/24/25 22:50,21.1,10.7,10.7,,8.4,,,43,86,0,0,68,769,0,0,,
5/24/25 23:00,21.3,10.6,10.6,,8.3,,,43,86,0,0,68,768.8,0,0,,
5/24/25 23:10,21.5,10.4,10.4,,8.3,,,43,87,0,0,68,768.7,0,0,,
5/24/25 23:20,21.5,10.3,10.3,,8.2,,,43,87,0,0,68,768.7,0,0,,
5/24/25 23:30,21.5,10.1,10.1,,8,,,42,87,1.8,1.8,68,768.8,0,0,,
5/24/25 23:40,21.4,10.1,10.1,,8,,,42,87,1.6,1.6,68,768.9,0,0,,
5/24/25 23:50,21.4,10,10,,7.9,,,42,87,0,0,68,768.9,0,0,,
5/25/25 0:00,20.9,10,10,,7.9,,,42,87,0,0,68,769,0,0,,
5/25/25 0:10,21.1,9.9,9.9,,7.5,,,42,85,1.8,1.8,68,768.7,0,0,,
5/25/25 0:20,21.2,9.9,9.9,,7.6,,,42,86,0,0,68,768.7,0,0,,
5/25/25 0:30,21.3,9.8,9.8,,7.7,,,42,87,1.6,1.6,68,768.9,0,0,,
5/25/25 0:40,21.3,9.7,9.7,,7.6,,,42,87,1.1,1.1,68,769,0,0,,
5/25/25 0:50,21.2,9.5,9.5,,7.9,,,42,89,1.6,1.6,68,769,0,0,,
5/25/25 1:20,21.1,9.4,9.4,,7.7,,,42,89,1.3,1.3,135,769,0,0,,
5/25/25 1:30,21.1,9.2,9.2,,7.6,,,41,90,3.4,2.7,135,769,0,0,,
5/25/25 1:40,21.1,9.1,9.1,,7.5,,,42,90,0,0,135,768.8,0,0,,
5/25/25 1:50,21.1,9.1,9.1,,7.5,,,41,90,3.4,2.7,180,768.8,0,0,,
5/25/25 2:00,21,9.1,9.1,,7.5,,,41,90,1.1,1.1,180,768.9,0,0,,
5/25/25 2:20,21,8.9,8.9,,7.5,,,41,91,1.1,1.1,180,768.8,0,0,,
5/25/25 2:30,20.9,8.9,8.9,,7.5,,,41,91,1.8,1.8,180,768.7,0,0,,
5/25/25 2:40,20.9,8.8,8.8,,7.4,,,41,91,1.8,1.8,180,768.7,0,0,,
5/25/25 2:50,20.9,8.8,8.8,,7.4,,,41,91,2.5,2.5,180,768.7,0,0,,
5/25/25 3:00,20.8,8.7,8.7,,7.3,,,41,91,1.1,1.1,180,768.7,0,0,,
5/25/25 3:10,20.8,8.7,8.7,,7.3,,,41,91,0,0,180,768.7,0,0,,
5/25/25 3:20,20.8,8.5,8.5,,7.4,,,41,92,1.6,1.6,180,768.7,0,0,,
5/25/25 4:00,20.7,8.3,8.3,,7.1,,,41,92,1.3,1.3,180,768.9,0,0,,
5/25/25 4:10,20.6,8.4,8.4,,7.2,,,41,92,0,0,180,768.8,0,0,,
5/25/25 5:20,20.5,8.3,8.3,,7.2,,,41,93,0,0,180,769,0,0,,
5/25/25 5:30,20.5,8.3,8.3,,7.2,,,41,93,1.1,1.1,180,768.8,0,0,,
5/25/25 5:40,20.5,8.3,8.3,,7.2,,,41,93,0,0,180,769,0,0,,
5/25/25 5:50,20.4,8.3,8.3,,7.2,,,41,93,1.1,1.1,180,769,0,0,,
5/25/25 6:00,20.4,8.2,8.2,,7.1,,,41,93,0,0,180,769,0,0,,
5/25/25 6:10,20.4,8,8,,6.9,,,41,93,0,0,180,769,0,0,,
5/25/25 6:20,20.4,7.9,7.9,,6.9,,,41,94,0,0,180,769,0,0,,
5/25/25 6:30,20.4,8,8,,7,,,41,94,1.1,1.1,180,769,0,0,,
5/25/25 6:40,20.4,8.1,8.1,,7,,,41,93,0,0,180,769.1,0,0,,
5/25/25 6:50,20.4,8.5,8.5,,7.5,,,41,93,1.1,1.1,180,769.1,0,0,,
5/25/25 7:00,20.4,8.9,8.9,,7.7,,,41,92,0,0,180,769.3,0,0,,
5/25/25 7:10,20.4,9.6,9.6,,8.2,,,41,91,0,0,180,769.3,0,0,,
5/25/25 7:20,20.5,11.2,11.2,,8.4,,,41,83,1.8,1.8,338,769.3,0,0,,
5/25/25 7:30,20.6,12.4,12.4,,8.5,,,41,77,1.8,1.8,338,769.6,0,0,,
5/25/25 7:40,21,12.5,12.5,,8.8,,,41,78,3.4,3.1,338,769.4,0,0,,
5/25/25 7:50,20.7,12.2,11.7,,8.3,,,41,77,4.7,4.3,22,769.4,0,0,,
5/25/25 8:00,20.7,12.4,11.6,,8.1,,,42,75,5.4,5.4,22,769.5,0,0,,
5/25/25 8:10,20.7,12.8,12.8,,8.2,,,42,74,3.6,3.1,22,769.4,0,0,,
5/25/25 8:20,20.8,13.1,12.4,,8.5,,,42,74,5.4,5.4,22,769.4,0,0,,
5/25/25 8:30,20.8,13.4,13.2,,9.2,,,42,76,2.7,2.7,338,769.4,0,0,,
5/25/25 8:40,20.9,13.1,12.8,,9.3,,,42,78,5.6,5.6,0,769.9,0,0,,
5/25/25 8:50,21,12.8,12.6,,8.2,,,43,74,4.3,4,22,769.9,0,0,,
5/25/25 9:00,21.1,13.3,12.8,,8.7,,,43,74,4,3.4,22,769.9,0,0,,
5/25/25 9:10,21.2,13.6,13.5,,9.3,,,43,75,5.4,5.4,45,769.8,0,0,,
5/25/25 9:20,21.1,13.5,13.2,,9.3,,,43,75,3.4,2.7,45,769.8,0,0,,
5/25/25 9:30,21.3,13.8,13.8,,8.6,,,44,71,2.2,2.2,45,769.9,0,0,,
5/25/25 9:40,21.3,13.9,13.6,,8.9,,,44,72,4.9,4.3,45,769.9,0,0,,
5/25/25 9:50,21.3,13.8,13.8,,8.6,,,44,71,1.8,1.8,45,769.9,0,0,,
5/25/25 10:00,21.3,14.1,14.1,,8.9,,,44,71,1.3,1.3,45,769.8,0,0,,
5/25/25 10:10,21.4,14.3,14.3,,9.4,,,44,73,1.6,1.6,338,769.8,0,0,,
5/25/25 10:20,21.4,14.8,14.8,,9.2,,,44,69,2.2,2.2,22,769.8,0,0,,
5/25/25 10:30,21.5,15.2,15.2,,9.9,,,44,71,2.5,2.5,22,770.2,0,0,,
5/25/25 10:40,21.5,15.4,15.2,,9,,,44,66,5.4,4.9,45,770,0,0,,
5/25/25 10:50,21.6,15.7,15.4,,9.8,,,44,68,5.4,5.4,338,770,0,0,,
5/25/25 11:00,21.7,15.5,15.5,,9.4,,,44,67,3.4,2.9,22,770.1,0,0,,
5/25/25 11:10,21.7,16.3,16.3,,8.7,,,45,61,2,2,45,769.9,0,0,,
5/25/25 11:20,21.7,16.7,16.7,,9.1,,,44,61,1.8,1.8,22,769.9,0,0,,
5/25/25 11:30,21.7,16.7,16.7,,8.1,,,45,57,1.3,1.3,45,770,0,0,,
5/25/25 11:40,21.8,16.8,16.8,,7.6,,,44,55,2,2,68,769.9,0,0,,
5/25/25 11:50,21.7,17.1,17.1,,7.7,,,44,54,2,2,0,769.9,0,0,,
5/25/25 12:00,21.7,16.8,16.8,,8.4,,,44,58,5.6,5.1,68,769.9,0,0,,
5/25/25 12:10,21.7,16.7,16.7,,8.1,,,44,57,5.4,4.7,45,769.9,0,0,,
5/25/25 12:20,21.7,17,17,,7.8,,,44,55,2,2,315,769.9,0,0,,
5/25/25 12:30,21.7,17.4,17.4,,8,,,44,54,5.8,5.4,338,769.9,0,0,,
5/25/25 12:40,21.8,17.2,16.8,,7.3,,,44,52,5.4,5.4,22,769.7,0,0,,
5/25/25 12:50,21.9,16.9,16.9,,7.7,,,44,55,2.7,2.7,68,769.7,0,0,,
5/25/25 13:00,21.8,17.1,16.9,,6.5,,,44,50,5.4,5.4,22,769.6,0,0,,
5/25/25 13:10,21.9,17.3,17.7,,6.7,,,44,50,5.6,4.9,45,769.5,0,0,,
5/25/25 13:20,21.9,17.2,17.2,,6,,,44,48,5.4,5.4,22,769.5,0,0,,
5/25/25 13:30,22,17.2,17.2,,6.4,,,44,49,5.4,5.4,22,769.4,0,0,,
5/25/25 13:40,22,17.5,17.4,,7.2,,,44,51,6,6,338,769.1,0,0,,
5/25/25 13:50,22,17.7,17.8,,8.2,,,44,54,9.8,8.7,315,769.1,0,0,,
5/25/25 14:00,22.1,17.9,17.9,,7.5,,,44,51,3.4,3.1,338,769.1,0,0,,
5/25/25 14:10,22.2,18.2,18.2,,6.3,,,44,46,5.4,4.9,315,769,0,0,,
5/25/25 14:20,22.2,18.3,18.3,,7.9,,,44,51,5.4,5.4,68,769,0,0,,
5/25/25 14:30,22.3,18.5,18.5,,7.7,,,44,49,8.1,7.8,22,768.9,0,0,,
5/25/25 14:40,22.3,18.2,18.2,,7.5,,,44,50,5.6,5.6,22,768.7,0,0,,
5/25/25 14:50,22.2,18.3,18.3,,7.6,,,42,50,2,2,22,768.7,0,0,,
5/25/25 15:00,21.9,18.7,18.7,,6.5,,,40,45,5.4,5.4,338,769,0,0,,
5/25/25 15:10,21.9,19,19,,8.5,,,41,51,8.1,7.8,0,768.7,0,0,,
5/25/25 15:20,21.8,18.4,18.4,,7.7,,,42,50,7.6,7.6,0,768.7,0,0,,
5/25/25 15:30,21.8,18,18,,8,,,44,52,7.8,7.4,68,768.8,0,0,,
5/25/25 15:40,21.8,17.7,17.7,,6.8,,,44,49,5.4,5.4,90,769,0,0,,
